exp,phi_0,dV_ges,eps_0,h_dis_0,h_d_0,V_dis_total,Sep. Eff.,Vol_imbalance [%],status,error,h_c_0
10mmol_21C,0.00034782,1249.972052,0.299996185,0.047035642,0.109754391,0.0336251161312772,0.9899029828016166,0.0,success,,
10mmol_21C,0.000276122,1249.905575,0.300056612,0.045309544,0.111006706,0.0341027201447076,0.9633182182916163,0.0,success,,
10mmol_21C,0.000540365,1253.811344,0.400506867,0.046744598,0.098130669,0.0313049242591603,0.999669534805645,0.0,success,,
10mmol_21C,0.000524807,1254.113769,0.401062998,0.037531784,0.104900016,0.0270039719805597,0.999592274082431,0.0,success,,
10mmol_21C,0.000390749,1237.241983,0.398815701,0.042380694,0.108946439,0.036037301330977,0.9965033998947902,0.0,success,,
10mmol_21C,0.000330849,1239.463207,0.399115651,0.048708188,0.108711746,0.0395402849671764,0.989291272155479,0.0,success,,
10mmol_21C,0.00056679,1252.344689,0.501636811,0.044913554,0.098336362,0.0350318065770575,0.9998811800274148,0.0,success,,
10mmol_21C,0.000600977,1240.939849,0.499425408,0.044640607,0.098248176,0.0331293459333798,0.999932313399684,0.0,success,,
10mmol_21C,0.00048327,1254.407693,0.50056331,0.055029842,0.102968558,0.0427842954523673,0.9995635797262856,0.0,success,,
10mmol_21C,0.000492745,750.2517853,0.299888778,0.03644848,0.100196136,0.0069312269967873,0.999827013709995,0.0,success,,
10mmol_21C,0.000326583,741.6100453,0.298191785,0.035661086,0.104411048,0.0080717430117019,0.9965261948980844,0.0,success,,
10mmol_21C,0.000225011,745.8283201,0.298307962,0.032729744,0.107690773,0.009204618758491,0.9675532121611308,0.0,success,,
10mmol_21C,0.000508224,748.8063905,0.399980643,0.035481061,0.097909155,0.0084232067932008,0.9999188285607178,0.0,success,,
10mmol_21C,0.000385542,761.3440655,0.401427842,0.037443071,0.104410629,0.0097916266028151,0.9991963205284624,1.2816570056221894e-14,success,,
10mmol_21C,0.000278176,751.4093995,0.400738686,0.048454604,0.108353029,0.0293707255572416,0.992950080541616,0.0,success,,
10mmol_21C,0.000578293,750.8784104,0.499324255,0.033814475,0.099111609,0.0095737553062501,0.999985089123461,6.497602952235275e-15,success,,
10mmol_21C,0.000449791,757.1490031,0.499654468,0.043603259,0.103049441,0.011353895986375,0.9998541675989816,0.0,success,,
10mmol_21C,0.000338769,750.0573319,0.499894576,0.03802335,0.108397884,0.0125269275463848,0.9986169124622398,6.5047157979588166e-15,success,,
10mmol_21C,0.000505238,1001.364701,0.300283637,0.041271736,0.102398581,0.0092376917651693,0.999601342327384,0.0,success,,
10mmol_21C,0.000377858,999.6735997,0.30006925,0.036809691,0.108183192,0.0093194393620419,0.9965959502177733,0.0,success,,
10mmol_21C,0.00028555,999.0802686,0.300038366,0.038511337,0.107811647,0.0238209353447686,0.9819930430755064,0.0,success,,
10mmol_21C,0.000470111,1010.098899,0.401582726,0.043640802,0.101165298,0.0117694087226328,0.9994919309587188,0.0,success,,
10mmol_21C,0.000427133,993.203178,0.39933699,0.041300086,0.104379964,0.0236833144190874,0.99913117786362,0.0,success,,
10mmol_21C,0.000338237,1001.661291,0.400053154,0.045480125,0.108152225,0.0340975006979104,0.9953294477215446,0.0,success,,
10mmol_21C,0.000570634,1013.328994,0.50041046,0.046042648,0.100247435,0.0135781078469185,0.999946294289218,0.0,success,,
10mmol_21C,0.000526237,1000.336847,0.499900659,0.051275907,0.099901227,0.0321705051134078,0.9999176227165952,0.0,success,,
10mmol_21C,0.000387667,1002.195121,0.500119766,0.05401427,0.108257747,0.0404277497901046,0.998930350729068,0.0,success,,
10mmol_21C,0.000484648,1249.761606,0.300061239,0.038515338,0.107851928,0.0232925240050543,0.9988807371549224,0.0,success,,
10mmol_21C,0.000409823,1249.892455,0.300000441,0.039715411,0.113022656,0.0292748954342484,0.9964957405178702,7.806927318694424e-15,success,,
10mmol_21C,0.000312946,1250.318768,0.300031661,0.049237347,0.111810503,0.0352646899893358,0.9815574093509734,0.0,success,,
10mmol_21C,0.000521445,1249.007805,0.400376844,0.045546267,0.094369333,0.0284162747068128,0.9995193071009124,0.0,success,,
10mmol_21C,0.000469479,1250.197338,0.399947935,0.037810669,0.091765381,0.0132158026706536,0.9986048249764504,0.0,success,,
10mmol_21C,0.000342463,1198.505578,0.393146823,0.033905121,0.093838846,0.0140322138635737,0.9886925572095204,0.0,success,,
10mmol_21C,0.000578276,1252.670832,0.499955561,0.048558604,0.095985963,0.036360379695157,0.9998992731525222,0.0,success,,
10mmol_21C,0.000543618,1286.2615,0.501457357,0.048427868,0.101831532,0.0411191773552117,0.99982415427507,0.0,success,,
